0.970004 -0.243088, -0.970004 0.243088, 0 0
0.974606 -0.238749, -0.965281 0.247396, -0.00932462 -0.00864663
0.979058 -0.234375, -0.960404 0.251663, -0.018654 -0.0172872
0.983411 -0.22998, -0.955421 0.255899, -0.0279907 -0.0259186
0.987661 -0.225563, -0.950325 0.260103, -0.0373351 -0.0345402
0.991781 -0.22112, -0.945085 0.264261, -0.0466961 -0.0431404
0.995789 -0.216656, -0.939717 0.268378, -0.056072 -0.0517218
0.999733 -0.212181, -0.934272 0.272468, -0.0654603 -0.0602868
1.00347 -0.207672, -0.928586 0.276471, -0.0748888 -0.0687996
1.00721 -0.203162, -0.922896 0.280474, -0.0843179 -0.0773116
1.01076 -0.198625, -0.916963 0.284378, -0.0937997 -0.085753
1.01423 -0.194076, -0.91092 0.288239, -0.103305 -0.0941626
1.01769 -0.189527, -0.904874 0.292097, -0.112812 -0.102571
1.02087 -0.184944, -0.898454 0.295786, -0.122417 -0.110842
1.02405 -0.180362, -0.892028 0.299472, -0.132024 -0.11911
1.02718 -0.175774, -0.88552 0.303116, -0.141656 -0.127342
1.03008 -0.171164, -0.878698 0.306596, -0.151384 -0.135432
1.03299 -0.166555, -0.871872 0.310075, -0.161115 -0.14352
1.03579 -0.161938, -0.8649 0.313468, -0.170895 -0.151529
1.03843 -0.157309, -0.857665 0.316706, -0.180765 -0.159398
1.04106 -0.152679, -0.850427 0.319942, -0.190638 -0.167264
1.04357 -0.148041, -0.842988 0.323045, -0.200585 -0.175003
1.04595 -0.143396, -0.835337 0.326005, -0.210611 -0.182608
1.04832 -0.138751, -0.827682 0.328962, -0.220639 -0.190211
1.05054 -0.134099, -0.819774 0.331727, -0.230767 -0.197628
1.05267 -0.129444, -0.811709 0.334372, -0.240957 -0.204929
1.05479 -0.124787, -0.80364 0.337014, -0.251149 -0.212226
1.05673 -0.120126, -0.795263 0.33939, -0.261466 -0.219264
1.05861 -0.115462, -0.786792 0.341683, -0.271822 -0.226221
1.0605 -0.110799, -0.778317 0.343973, -0.28218 -0.233174
1.06217 -0.106131, -0.769478 0.345903, -0.292688 -0.239772
1.06382 -0.101463, -0.760615 0.34781, -0.303206 -0.246347
1.06544 -0.0967943, -0.75169 0.349646, -0.313748 -0.252852
1.06688 -0.0921233, -0.74246 0.351136, -0.324416 -0.259013
1.06831 -0.0874522, -0.733225 0.352622, -0.335085 -0.265169
1.06966 -0.0827806, -0.723849 0.353922, -0.345809 -0.271141
1.07088 -0.0781081, -0.714272 0.35496, -0.356611 -0.276852
1.07211 -0.0734356, -0.704692 0.355994, -0.367414 -0.282559
1.07319 -0.0687627, -0.694891 0.356695, -0.378295 -0.287932
1.07421 -0.0640896, -0.684998 0.357255, -0.389209 -0.293165
1.07522 -0.0594165, -0.675089 0.357789, -0.400128 -0.298372
1.07604 -0.0547434, -0.664916 0.357852, -0.411127 -0.303109
1.07687 -0.0500703, -0.654741 0.357911, -0.422127 -0.307841
1.07761 -0.0453973, -0.644462 0.357753, -0.43315 -0.312355
1.07825 -0.0407244, -0.634042 0.357296, -0.444204 -0.316572
1.07888 -0.0360515, -0.623621 0.356835, -0.455258 -0.320784
1.07936 -0.0313789, -0.613029 0.355937, -0.46633 -0.324558
1.07981 -0.0267063, -0.602402 0.354947, -0.477405 -0.328241
1.0802 -0.0220338, -0.591727 0.353807, -0.488476 -0.331773
1.08047 -0.0173616, -0.580934 0.35228, -0.499536 -0.334918
1.08073 -0.0126893, -0.570138 0.350747, -0.510596 -0.338058
1.08087 -0.00801712, -0.559249 0.348813, -0.521618 -0.340796
1.08095 -0.003345, -0.548327 0.34674, -0.532626 -0.343395
1.081 0.00132712, -0.537383 0.344534, -0.543612 -0.345861
1.0809 0.00599924, -0.526373 0.341921, -0.554532 -0.34792
1.08081 0.0106714, -0.515362 0.339302, -0.56545 -0.349974
1.08059 0.0153436, -0.504314 0.336286, -0.576274 -0.351629
1.08032 0.0200159, -0.493253 0.333133, -0.587066 -0.353149
1.08 0.0246882, -0.482188 0.329836, -0.597813 -0.354524
1.07956 0.0293608, -0.471113 0.32616, -0.608443 -0.355521
1.07911 0.0340334, -0.460038 0.322479, -0.619071 -0.356512
1.07852 0.0387062, -0.448978 0.318394, -0.629543 -0.3571
1.07789 0.043379, -0.437922 0.314203, -0.639973 -0.357582
1.07721 0.048052, -0.426882 0.309851, -0.650329 -0.357903
1.07641 0.0527251, -0.415875 0.305168, -0.66053 -0.357893
1.0756 0.0573982, -0.40487 0.30048, -0.670728 -0.357878
1.07464 0.0620713, -0.393928 0.295399, -0.68071 -0.35747
1.07365 0.0667444, -0.382999 0.29024, -0.690648 -0.356984
1.07259 0.0714174, -0.372104 0.284924, -0.700486 -0.356342
1.07141 0.0760901, -0.361275 0.279317, -0.710136 -0.355407
1.07023 0.0807628, -0.350447 0.273706, -0.719784 -0.354469
1.06889 0.0854346, -0.339718 0.267746, -0.729173 -0.35318
1.06752 0.0901061, -0.329009 0.261713, -0.738508 -0.351819
1.06608 0.094777, -0.318341 0.255561, -0.747741 -0.350338
1.06451 0.0994464, -0.307766 0.249134, -0.756742 -0.348581
1.06293 0.104116, -0.297193 0.242704, -0.76574 -0.34682
1.06121 0.108783, -0.286727 0.236007, -0.774479 -0.34479
1.05942 0.113448, -0.276299 0.229213, -0.783124 -0.342662
1.05761 0.118113, -0.265893 0.222369, -0.791714 -0.340482
1.05561 0.122774, -0.255617 0.215242, -0.799992 -0.338015
1.05361 0.127434, -0.245342 0.208112, -0.808266 -0.335545
1.05149 0.13209, -0.235145 0.200826, -0.816346 -0.332916
1.04926 0.136742, -0.225023 0.193395, -0.824241 -0.330136
1.04704 0.141393, -0.214903 0.185961, -0.832133 -0.327354
1.04461 0.146036, -0.204908 0.178301, -0.839699 -0.324336
1.04214 0.150676, -0.194938 0.170598, -0.847203 -0.321274
1.03964 0.155314, -0.184989 0.16286, -0.85465 -0.318174
1.03692 0.159938, -0.175162 0.154922, -0.861762 -0.31486
1.03421 0.164562, -0.165336 0.146982, -0.86887 -0.311544
1.03139 0.169178, -0.155563 0.138962, -0.875823 -0.30814
1.02841 0.17378, -0.145869 0.13082, -0.882537 -0.304601
1.02542 0.178383, -0.136176 0.122676, -0.889247 -0.301059
1.02227 0.182968, -0.126553 0.114432, -0.895721 -0.2974
1.01901 0.187542, -0.116977 0.10612, -0.902038 -0.293662
1.01575 0.192116, -0.107402 0.0978065, -0.908351 -0.289922
1.01227 0.196661, -0.0979013 0.0893904, -0.914364 -0.286051
1.00871 0.201198, -0.0884235 0.0809433, -0.920287 -0.282141
1.00515 0.205734, -0.0789466 0.072495, -0.926207 -0.278229
1.00132 0.210228, -0.0695372 0.0639574, -0.931782 -0.274185
0.997453 0.214717, -0.0601354 0.0554096, -0.937317 -0.270126
0.993582 0.219205, -0.0507344 0.0468609, -0.942848 -0.266066
0.989391 0.223634, -0.0413832 0.038248, -0.948008 -0.261882
0.985197 0.228062, -0.0320324 0.0296346, -0.953164 -0.257697
0.980976 0.232485, -0.0226836 0.0210187, -0.958292 -0.253504
0.976439 0.236839, -0.0133565 0.0123751, -0.963083 -0.249214
0.9719 0.241192, -0.00402961 0.00373141, -0.96787 -0.244923
0.967317 0.245534, 0.00529776 -0.00491175, -0.972615 -0.240622
0.962419 0.249794, 0.014629 -0.01355, -0.977048 -0.236244
0.957517 0.254054, 0.0239605 -0.022188, -0.981477 -0.231866
0.952562 0.258297, 0.0332965 -0.0308202, -0.985858 -0.227477
0.947285 0.262444, 0.0426607 -0.0394164, -0.989946 -0.223028
0.942005 0.26659, 0.0520254 -0.048012, -0.99403 -0.218578
0.936665 0.270715, 0.0613994 -0.0565956, -0.998065 -0.21412
0.930996 0.274725, 0.0708249 -0.0651123, -1.00182 -0.209613
0.925323 0.278733, 0.0802511 -0.073628, -1.00557 -0.205105
0.919585 0.282716, 0.0896912 -0.0821251, -1.00928 -0.200591
0.91351 0.286562, 0.0992048 -0.0905236, -1.01271 -0.196039
0.907431 0.290407, 0.108719 -0.0989209, -1.01615 -0.191486
0.901282 0.294219, 0.118253 -0.107292, -1.01953 -0.186928
0.894791 0.297873, 0.127879 -0.115533, -1.02267 -0.18234
0.888295 0.301525, 0.137506 -0.123772, -1.0258 -0.177752
0.881721 0.305134, 0.147158 -0.131975, -1.02888 -0.173159
0.874807 0.308564, 0.156917 -0.140019, -1.03172 -0.168545
0.867888 0.31199, 0.166678 -0.14806, -1.03457 -0.163931
0.860875 0.31536, 0.176472 -0.156048, -1.03735 -0.159312
0.853534 0.318531, 0.186381 -0.163853, -1.03992 -0.154678
0.84619 0.321699, 0.196292 -0.171656, -1.04248 -0.150043
0.838725 0.324784, 0.206248 -0.179379, -1.04497 -0.145405
0.83096 0.327662, 0.216319 -0.186905, -1.04728 -0.140757
0.823191 0.330536, 0.226391 -0.194428, -1.04958 -0.136108
0.815266 0.333288, 0.236526 -0.201832, -1.05179 -0.131456
0.807083 0.335836, 0.246764 -0.209039, -1.05385 -0.126797
0.798897 0.338381, 0.257003 -0.216242, -1.0559 -0.122139
0.790507 0.340743, 0.267326 -0.223266, -1.05783 -0.117477
0.78192 0.342927, 0.27773 -0.230115, -1.05965 -0.112812
0.773328 0.345107, 0.288136 -0.23696, -1.06146 -0.108147
0.764477 0.34702, 0.298648 -0.243541, -1.06313 -0.103479
0.755501 0.348804, 0.309212 -0.249995, -1.06471 -0.0988099
0.746522 0.350585, 0.319778 -0.256444, -1.0663 -0.0941406
0.737222 0.351987, 0.330473 -0.262518, -1.06769 -0.0894693
0.727881 0.35334, 0.341184 -0.268542, -1.06907 -0.0847977
0.718487 0.35462, 0.351915 -0.274494, -1.0704 -0.0801259
0.708811 0.355517, 0.362754 -0.280064, -1.07156 -0.0754532
0.699132 0.356409, 0.373593 -0.285629, -1.07273 -0.0707804
0.689314 0.357081, 0.38448 -0.290974, -1.07379 -0.0661075
0.679332 0.357492, 0.395423 -0.296057, -1.07475 -0.0614343
0.669346 0.357897, 0.406367 -0.301136, -1.07571 -0.0567612
0.659146 0.357902, 0.417372 -0.305814, -1.07652 -0.0520881
0.648892 0.357804, 0.428392 -0.310389, -1.07728 -0.047415
0.638592 0.357606, 0.43942 -0.314864, -1.07801 -0.042742
0.628105 0.356988, 0.450484 -0.318919, -1.07859 -0.0380692
0.617616 0.356365, 0.461549 -0.322969, -1.07916 -0.0333964
0.607009 0.35542, 0.472619 -0.326696, -1.07963 -0.0287239
0.596326 0.354265, 0.483693 -0.330214, -1.08002 -0.0240514
0.585633 0.353073, 0.494766 -0.333694, -1.0804 -0.0193789
0.574795 0.351379, 0.505815 -0.336672, -1.08061 -0.0147067
0.563957 0.34968, 0.516863 -0.339646, -1.08082 -0.0100345
0.553056 0.34769, 0.527877 -0.342327, -1.08093 -0.00536234
0.542103 0.34545, 0.538861 -0.344759, -1.08096 -0.000690232
0.531146 0.343184, 0.549841 -0.347166, -1.08099 0.00398188
0.520116 0.340405, 0.560726 -0.349059, -1.08084 0.00865404
0.509086 0.337622, 0.571609 -0.350948, -1.0807 0.0133262
0.498035 0.334545, 0.582416 -0.352543, -1.08045 0.0179985
0.486966 0.33123, 0.593162 -0.3539, -1.08013 0.0226708
0.475896 0.327871, 0.603893 -0.355214, -1.07979 0.0273432
0.464824 0.324036, 0.614466 -0.356052, -1.07929 0.0320159
0.453751 0.320195, 0.625036 -0.356884, -1.07879 0.0366885
0.442695 0.316053, 0.635483 -0.357414, -1.07818 0.0413614
0.431652 0.311708, 0.645846 -0.357742, -1.0775 0.0460343
0.420616 0.307299, 0.656178 -0.358006, -1.07679 0.0507073
0.40963 0.302468, 0.666302 -0.357848, -1.07593 0.0553805
0.398645 0.297632, 0.676423 -0.357685, -1.07507 0.0600536
0.387714 0.292501, 0.686373 -0.357228, -1.07409 0.0647267
0.376813 0.287201, 0.696225 -0.3566, -1.07304 0.0693997
0.365928 0.281836, 0.706034 -0.355909, -1.07196 0.0740727
0.355134 0.276096, 0.71559 -0.354841, -1.07072 0.0787451
0.344341 0.270352, 0.725144 -0.353769, -1.06948 0.0834176
0.333625 0.264352, 0.7345 -0.352441, -1.06812 0.0880891
0.322956 0.258195, 0.743734 -0.350955, -1.06669 0.0927602
0.312299 0.252004, 0.752938 -0.349435, -1.06524 0.097431
0.301769 0.245462, 0.761832 -0.347561, -1.0636 0.102099
0.29124 0.238916, 0.770722 -0.345684, -1.06196 0.106768
0.280785 0.232191, 0.779432 -0.343625, -1.06022 0.111434
0.270403 0.225291, 0.787965 -0.341389, -1.05837 0.116099
0.260023 0.218387, 0.796495 -0.33915, -1.05652 0.120763
0.249779 0.211194, 0.804692 -0.336616, -1.05447 0.125421
0.239551 0.203968, 0.812851 -0.334047, -1.0524 0.130079
0.229364 0.196663, 0.820907 -0.331398, -1.05027 0.134735
0.219289 0.189145, 0.828684 -0.328529, -1.04797 0.139384
0.209215 0.181625, 0.836457 -0.325657, -1.04567 0.144032
0.199228 0.173954, 0.844003 -0.322627, -1.04323 0.148674
0.189303 0.166175, 0.851387 -0.319484, -1.04069 0.153309
0.179379 0.158394, 0.858767 -0.316339, -1.03815 0.157945
0.169575 0.15042, 0.86581 -0.312986, -1.03539 0.162566
0.159792 0.142414, 0.872797 -0.309598, -1.03259 0.167184
0.150022 0.134386, 0.87974 -0.306186, -1.02976 0.171799
0.140366 0.126189, 0.886332 -0.302583, -1.0267 0.176394
0.130711 0.11799, 0.892921 -0.298978, -1.02363 0.180988
0.12109 0.109742, 0.89939 -0.295316, -1.02048 0.185574
0.111546 0.101386, 0.905586 -0.291523, -1.01713 0.190137
0.102003 0.0930274, 0.911778 -0.287728, -1.01378 0.1947
0.0925018 0.0846125, 0.917791 -0.283858, -1.01029 0.199245
0.0830498 0.0761309, 0.923595 -0.279899, -1.00665 0.203769
0.0735985 0.0676484, 0.929396 -0.27594, -1.00299 0.208291
0.0641865 0.0591143, 0.934975 -0.271899, -0.999162 0.212785
0.0548031 0.0505427, 0.940394 -0.267799, -0.995197 0.217257
0.0454202 0.0419705, 0.945809 -0.263699, -0.991229 0.221728
0.0360655 0.0333622, 0.950977 -0.259519, -0.987042 0.226157
0.0267249 0.0247357, 0.956019 -0.2553, -0.982744 0.230564
0.0173846 0.0161089, 0.961058 -0.251079, -0.978442 0.23497
0.00805508 0.00746848, 0.965893 -0.246802, -0.973948 0.239333
